Id,SalePrice
1461,140754.61
1462,176400.9
1463,158379.9
1464,220113.42
1465,193352.64
1466,186255.33
1467,165507.22
1468,171688.25
1469,178377.62
1470,119086.69
1471,213943.28
1472,117118.516
1473,109421.54
1474,152752.62
1475,152774.08
1476,444436.88
1477,300602.88
1478,300296.88
1479,309921.38
1480,486144.38
1481,355726.53
1482,199799.67
1483,198796.27
1484,198812.95
1485,190849.47
1486,188997.06
1487,346323.03
1488,220708.83
1489,195751.5
1490,168657.55
1491,184264.66
1492,104553.69
1493,204819.86
1494,269534.44
1495,294882.78
1496,308702.47
1497,209124.05
1498,167562.55
1499,183152.75
1500,146541.83
1501,196925.16
1502,214611.05
1503,315475.56
1504,215632.17
1505,240307.16
1506,185454.83
1507,197154.34
1508,210569.19
1509,168772.84
1510,130808.82
1511,135691.11
1512,142987.62
1513,167556.78
1514,179155.3
1515,240170.86
1516,176876.7
1517,155637.8
1518,105206.016
1519,216484.95
1520,127240.49
1521,153262.16
1522,187958.08
1523,116874.625
1524,118204.61
1525,130385.59
1526,118612.58
1527,113839.96
1528,128890.66
1529,152500.5
1530,175085.44
1531,112640.19
1532,108455.18
1533,145265.08
1534,101303.57
1535,171443.47
1536,111271.125
1537,80014.67
1538,195160.55
1539,109045.86
1540,111144.06
1541,168277.98
1542,150549.0
1543,225104.73
1544,44920.473
1545,107805.96
1546,93560.86
1547,135264.36
1548,119282.945
1549,115276.234
1550,176915.6
1551,95715.58
1552,183705.47
1553,118069.58
1554,145309.6
1555,210591.27
1556,105382.77
1557,133673.33
1558,105736.93
1559,87700.83
1560,181716.23
1561,192969.3
1562,135391.66
1563,124685.74
1564,122415.34
1565,117004.87
1566,212565.6
1567,62120.3
1568,246013.33
1569,148362.89
1570,113765.0
1571,157264.97
1572,149211.03
1573,245160.78
1574,111102.93
1575,177359.66
1576,215397.2
1577,201727.4
1578,196769.77
1579,156957.58
1580,195808.38
1581,136106.55
1582,111114.14
1583,390547.66
1584,255087.42
1585,140511.31
1586,101594.266
1587,87323.39
1588,128437.3
1589,122536.12
1590,134384.45
1591,101567.72
1592,121028.63
1593,122523.984
1594,171192.69
1595,88178.66
1596,229185.16
1597,191092.58
1598,245555.19
1599,205153.38
1600,197733.56
1601,65708.85
1602,127911.484
1603,104991.3
1604,292781.9
1605,267246.3
1606,181121.14
1607,178385.55
1608,214684.61
1609,177645.23
1610,156447.08
1611,129805.195
1612,165135.56
1613,185739.48
1614,121894.91
1615,94683.9
1616,75048.45
1617,85901.98
1618,130208.48
1619,135554.31
1620,109455.62
1621,144087.12
1622,215806.84
1623,274740.25
1624,215588.1
1625,121964.87
1626,182846.17
1627,189051.12
1628,258912.56
1629,171057.4
1630,445271.88
1631,231003.89
1632,206361.33
1633,216171.64
1634,206477.05
1635,171980.81
1636,166759.14
1637,161026.83
1638,178904.73
1639,205895.77
1640,192199.12
1641,158515.1
1642,223177.33
1643,211148.98
1644,234165.9
1645,151971.86
1646,184459.28
1647,182369.72
1648,132568.2
1649,149715.73
1650,115865.23
1651,151420.36
1652,104436.81
1653,107140.734
1654,119574.56
1655,163976.66
1656,143282.16
1657,144217.05
1658,155429.97
1659,192995.86
1660,170264.75
1661,465039.38
1662,418131.72
1663,484032.16
1664,504067.4
1665,375426.1
1666,323046.94
1667,363100.8
1668,356078.38
1669,253112.47
1670,393870.22
1671,214634.9
1672,535892.5
1673,277225.78
1674,243963.45
1675,170373.45
1676,186020.89
1677,252050.92
1678,518093.25
1679,340803.75
1680,385610.9
1681,272086.47
1682,307871.44
1683,181037.23
1684,169083.08
1685,165470.6
1686,162834.7
1687,192201.84
1688,173011.67
1689,181033.3
1690,178262.31
1691,192945.4
1692,261327.58
1693,171625.66
1694,173611.47
1695,175124.84
1696,241084.42
1697,184379.34
1698,371124.1
1699,354158.38
1700,268431.3
1701,237534.66
1702,256735.95
1703,250183.17
1704,294201.78
1705,206086.88
1706,443623.16
1707,224022.06
1708,227726.52
1709,266472.75
1710,261242.2
1711,254511.0
1712,225538.94
1713,217408.58
1714,202561.42
1715,200052.92
1716,123329.04
1717,140576.75
1718,114272.72
1719,198288.06
1720,273741.06
1721,134407.81
1722,141015.12
1723,170534.81
1724,191072.66
1725,254194.16
1726,210904.69
1727,165661.48
1728,125209.05
1729,174359.58
1730,176382.48
1731,131129.88
1732,155064.58
1733,137083.81
1734,143625.47
1735,96846.41
1736,107857.57
1737,209207.4
1738,209528.5
1739,323240.8
1740,206373.75
1741,174067.22
1742,180389.28
1743,158880.92
1744,301053.34
1745,295168.12
1746,215491.53
1747,218566.38
1748,247059.0
1749,162018.98
1750,135571.11
1751,227052.64
1752,101988.8
1753,124390.13
1754,182430.25
1755,162658.77
1756,141694.77
1757,126841.66
1758,130386.695
1759,152479.2
1760,146998.97
1761,106793.38
1762,190326.11
1763,180712.6
1764,112210.59
1765,169676.83
1766,163797.28
1767,162342.44
1768,152972.5
1769,195949.28
1770,135779.16
1771,124400.91
1772,168939.19
1773,114726.99
1774,112277.64
1775,145149.28
1776,125683.98
1777,105147.09
1778,133019.9
1779,118713.72
1780,200849.62
1781,118586.54
1782,96160.87
1783,150442.05
1784,112242.18
1785,135217.52
1786,167197.78
1787,152645.23
1788,33469.113
1789,118427.2
1790,36664.47
1791,212397.4
1792,179566.19
1793,127590.89
1794,123270.375
1795,139290.73
1796,109862.55
1797,117299.1
1798,145848.5
1799,81010.35
1800,187140.8
1801,131867.81
1802,171760.47
1803,160046.22
1804,157983.94
1805,113518.77
1806,122619.15
1807,176601.81
1808,134926.83
1809,108635.43
1810,108987.39
1811,110854.55
1812,87066.38
1813,125970.5
1814,106729.74
1815,41829.297
1816,121813.97
1817,169947.97
1818,159303.44
1819,133486.94
1820,37055.203
1821,121089.87
1822,174979.47
1823,50373.395
1824,130035.25
1825,134886.89
1826,134817.4
1827,111405.914
1828,170656.84
1829,108676.22
1830,168044.58
1831,134815.9
1832,62637.832
1833,164278.89
1834,95926.13
1835,139997.47
1836,88006.23
